title,url,summary,War_Sentiment_Label,War_Pos,War_Neg,War_Neu
RBI policy press conference: Here's everything that came up for discussion,https://economictimes.indiatimes.com/news/economy/policy/rbi-policy-press-conference-heres-everything-that-came-up-for-discussion/articleshow/131529792.cms,The Reserve Bank of India unveiled new measures to attract deposits and bolster the economy. Governor Sanjay Malhotra discussed strategies for economic growth and inflation management. The central bank aims to draw in foreign exchange through various initiatives. These steps are designed to ensure a stable economic environment and encourage investment.,Neutral,0.19595250487327576,0.017563447821885347,0.7864840030670166
Rupee rises 50 paise to 95.24 against US dollar post RBI policy decision,https://economictimes.indiatimes.com/markets/forex/forex-news/rupee-rises-50-paise-to-95-24-against-us-dollar-post-rbi-policy-decision/articleshow/131523056.cms,"The rupee strengthened significantly against the US dollar, gaining 50 paise to reach 95.24 following the RBI's liberalization of FPI investment norms in government securities. This move, coupled with the central bank's assertion of robust forex reserves, boosted investor confidence. The RBI also maintained its repo rate at 5.25% and adjusted GDP and inflation projections.",Positive,0.6642660101254781,0.028021409486730892,0.3077126157780488
"Rupee inches up, defies Asian peers; caution prevails before RBI policy",https://economictimes.indiatimes.com/markets/forex/rupee-inches-up-defies-asian-peers-caution-prevails-before-rbi-policy/articleshow/131521607.cms,"The Indian rupee strengthened on Friday, defying subdued Asian markets ahead of a key policy decision. While a currency trader noted flow-driven adjustments, overall caution prevails as the Reserve Bank of India prepares to announce its policy, with markets watching for potential rate hikes amid inflation and currency pressures.",Positive,0.5135276317596436,0.39356425404548645,0.09290812164545059
"R Gandhi calls RBI policy 'on expected lines', sees no immediate rate hike risks",https://economictimes.indiatimes.com/markets/expert-view/r-gandhi-calls-rbi-policy-on-expected-lines-sees-no-immediate-rate-hike-risks/articleshow/131526672.cms,The Reserve Bank of India has maintained its neutral policy stance and kept interest rates steady. The central bank has adjusted its forecasts for economic growth and inflation. New measures are in place to encourage foreign investment. These steps aim to stabilize the Indian Rupee. Experts believe these decisions align with market expectations.,Neutral,0.11263727396726608,0.04058557376265526,0.8467771410942078
India bonds end flat as RBI policy caution offsets cooler oil,https://economictimes.indiatimes.com/markets/bonds/india-bonds-end-flat-as-rbi-policy-caution-offsets-cooler-oil/articleshow/131463652.cms,"Brent crude and U.S. Treasury yields eased in Asian trade, taking some pressure off India's oil-sensitive ⁠curve.",Negative,0.30365633964538574,0.6505083441734314,0.04583534970879555
Indian bonds steady as U.S.-Iran tensions linger; RBI policy review due Friday,https://economictimes.indiatimes.com/markets/bonds/indian-bonds-steady-as-u-s-iran-tensions-linger-rbi-policy-review-due-friday/articleshow/131455015.cms,"Indian government bonds saw little movement early Tuesday. Investors are adopting a cautious stance ahead of the Reserve Bank of India's policy decision later this week. Lingering U.S.-Iran tensions and upcoming state and central government bond sales are also keeping traders on the sidelines, leading to shallow trading volumes.",Negative,0.020300119183957577,0.8893947005271912,0.09030522033572197
India bonds slip ahead of RBI policy as war risks lift oil,https://economictimes.indiatimes.com/markets/bonds/india-bonds-slip-ahead-of-rbi-policy-as-war-risks-lift-oil/articleshow/131442741.cms,"The Reserve Bank of India will announce its rate decision on Friday, with markets largely pricing in a pause even as Standard Chartered, ⁠Capital Economics, ⁠ANZ, MUFG and OCBC call for a 25-basis-point hike.",Neutral,0.2159242033958435,0.3163609802722931,0.467714786529541
"Currency, bond markets await RBI cues from MPC meet",https://economictimes.indiatimes.com/markets/forex/forex-news/currency-bond-markets-await-rbi-cues-from-mpc-meet/articleshow/131519073.cms,"The Indian rupee and benchmark bond yields traded narrowly on Thursday ahead of Friday's policy rate decision and potential currency support measures. The rupee closed at 95.78, with the RBI intervening to prevent further depreciation. Markets awaited key announcements, while dollar demand from oil companies persisted.",Neutral,0.2540633976459503,0.2122505009174347,0.533686101436615
RBI MPC June meet 2026: What's cheaper and what's costlier,https://economictimes.indiatimes.com/news/economy/policy/rbi-mpc-june-2026-whats-cheaper-and-whats-costlier/articleshow/131522394.cms,The Reserve Bank of India has maintained the repo rate at 5.25%. This decision comes as policymakers assess the effects of higher energy prices and supply chain issues. The ongoing West Asia conflict is a key factor. Home loans and business borrowing costs are expected to remain stable. Savers will likely see fixed deposit rates stay near current levels.,Positive,0.5670946389436722,0.02797281090170145,0.40493257716298103
RBI MPC Meeting at a Glance: Your one-stop guide for all key decisions,https://economictimes.indiatimes.com/news/economy/policy/rbi-mpc-meeting-2026-at-a-glance-rbi-governor-sanjay-malhotra-speech-highlights-repo-rate-policy-decisions/articleshow/131518830.cms,RBI Monetary Policy Meeting Highlights: Reserve Bank Governor Sanjay Malhotra will announce the Monetary Policy Committee's decision on Friday. The key policy rate is expected to remain unchanged at 5.25%. This pause reflects a cautious approach amid the West Asia conflict. The conflict poses risks to inflation and economic growth. The committee began its meeting on Wednesday. Retail inflation has moderated to 3.48%.,Negative,0.10278568044304848,0.6158622056245804,0.28135209530591965
"India likely to outpace RBI growth forecasts, says World Bank's Neelkanth Mishra",https://economictimes.indiatimes.com/news/economy/policy/india-likely-to-outpace-rbi-growth-forecasts-says-world-banks-neelkanth-mishra/articleshow/131528831.cms,"India's economy is set for robust growth, exceeding Reserve Bank of India forecasts, World Bank Executive Director Neelkanth Mishra said. According to him, the economy is performing significantly better than official projections. He also supported RBI's decision to maintain interest rates.",Positive,0.9485400915145874,0.02162274159491062,0.029837148264050484
