title,url,summary,article_text
Iran truce spurs best week for India bonds in over six years,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/bonds/iran-truce-spurs-best-week-for-india-bonds-in-over-six-years/articleshow/130170096.cms,"Indian government bonds ended their best week in six-and-a-half years on Friday, as a fragile truce between U.S. and Iran cooled oil prices and a neutral central bank policy aided sentiment.",
"Rupee ends higher; traders eye Trump's Iran deadline, RBI policy decision",https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/forex/forex-news/rupee-ends-higher-traders-eye-trumps-iran-deadline-rbi-policy-decision/articleshow/130084563.cms,"The Indian rupee closed stronger on Tuesday, supported by the unwinding of residual arbitrage positions, while traders braced for a U.S. deadline to reach a deal with Iran and the Reserve Bank of India's monetary policy decision.",
"RBI policy on expected lines, focused on stability and proactivity: R. Gandhi",https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/expert-view/rbi-policy-on-expected-lines-focused-on-stability-and-proactivity-r-gandhi/articleshow/130107152.cms,"The Reserve Bank of India's recent monetary policy announcement offered clarity amidst global uncertainties, with former Deputy Governor R. Gandhi highlighting the MPC's expected assessment and projections. The RBI's proactive stance, as evidenced by its willingness to intervene during rupee volatility, signals a commitment to maintaining economic equilibrium and mitigating market fluctuations.",
"Ceasefire, RBI policy cool bond yields by 0.15 pc to slip below 7%",https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/bonds/ceasefire-rbi-policy-cool-bond-yields-by-0-15-pc-to-slip-below-7/articleshow/130116524.cms,"Indian bond yields ended nearly 0.15 per cent lower on Wednesday, taking comfort from the conditional ceasefire in the West Asia conflict, and Reserve Bank of India (RBI) maintaining the status quo on policy rate.",
Is the RBI fighting the wrong battle? Why rate hikes may not solve India’s current inflation problem,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/stocks/news/is-the-rbi-fighting-the-wrong-battle-why-rate-hikes-may-not-solve-indias-current-inflation-problem/articleshow/130382575.cms,"Rising oil prices due to the West Asia conflict have lifted inflation expectations, but underlying demand in India remains weak. Despite market signals pointing to possible rate hikes, historical trends and current macro conditions suggest the RBI may hold off, favouring supportive monetary policy amid fragile growth and supply-driven inflation pressures.",
"India's 10-year bond yield slumps most in four years on Iran truce, RBI policy",https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/markets/bonds/indias-10-year-bond-yield-slumps-most-in-four-years-on-iran-truce-rbi-policy/articleshow/130113290.cms,"Indian bonds rallied on Wednesday, with the benchmark yield posting its biggest fall in four years, as oil prices slumped following a two-week truce between the U.S. and Iran, while the central bank kept its policy rate unchanged.",
"Long-term bonds are cheap now; patient investors may gain big, says Rahul Goswami of Franklin Templeton",https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/wealth/invest/long-term-bonds-are-cheap-now-patient-investors-may-gain-big-says-rahul-goswami-of-franklin-templeton/articleshow/130346901.cms,"Rate cuts are off the table, inflation is creeping up, and the Strait of Hormuz remains a wildcard. In a candid interview with ET Wealth’s Kayezad E. Adajania, Rahul Goswami of Franklin Templeton, sees a clear opportunity in long-dated bonds for investors who can stomach near-term volatility.",
"RBI eases NPA-linked capital rules, scraps IFR buffer for banks",https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/policy/rbi-eases-npa-linked-capital-rules-scraps-ifr-buffer-for-banks/articleshow/130104258.cms,The Reserve Bank of India is easing capital rules for banks. A key condition linking quarterly profits to capital adequacy based on NPA provisioning is being removed. The central bank also plans to eliminate the Investment Fluctuation Reserve. These changes aim to strengthen bank balance sheets.,
RBI MPC at a glance: Your one-stop guide for all key decisions,https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/policy/rbi-mpc-keeting-2026-at-a-glance-rbi-governor-sanjay-malhotra-speech-highlights-repo-rate-policy-decisions/articleshow/130102278.cms,"The Reserve Bank of India has maintained the repo rate at 5.25%. India's economy shows strong growth driven by domestic demand. Inflation is easing but global risks persist. The central bank projects a GDP growth of 7.6% for the fiscal year 2026. Business sentiment remains positive, and the banking system is efficient.",
"RBI holds repo rate, warns of impact of West Asia conflict on economy",https://economictimes.indiatimes.comhttps://economictimes.indiatimes.com/news/economy/policy/rbi-holds-repo-rate-warns-of-impact-of-west-asia-conflict-on-economy/articleshow/130105728.cms,"The Reserve Bank of India maintained its key interest rate and neutral stance, citing geopolitical risks from the West Asian conflict. While growth forecasts for FY27 were lowered and inflation projections raised, the RBI emphasized the potential impact on oil prices, agriculture, and global liquidity. The central bank aims to balance inflation control with economic growth.",
